Date,Close,Volume,Open,High,Low,Log_Returns,EMA_10,RSI,MACD,Signal_Line
2020-01-07,74.5975,111510640,74.96,75.225,74.37,-0.015958315990250143,77.3573592335926,32.5875135330206,-0.05342599340565357,0.6908423421091536
2020-01-06,74.95,118578560,73.4475,74.99,73.1875,0.004714229964776566,76.91965755475758,40.486587648159755,-0.2586062477387969,0.5009526241395635
2020-01-03,74.3575,146535520,74.2875,75.145,74.125,-0.00793668248646385,76.45381072661984,24.598540145985496,-0.4636778857748709,0.3080265221566767
2020-01-02,75.0875,135647440,74.06,75.15,73.7975,0.009769558114137038,76.20539059450714,28.09744779582374,-0.560828851349882,0.13425544745536494
2019-12-31,73.4125,100990520,72.4825,73.42,72.38,-0.022559879327642057,75.69759230459674,25.088046405635026,-0.7641713018562228,-0.04542990240695263
2019-12-30,72.88,144238440,72.365,73.1725,71.305,-0.007279967896934999,75.18530279467005,24.578851227927814,-0.9572553151947432,-0.22779498496451075
2019-12-27,72.45,146371760,72.78,73.4925,72.03,-0.005917584185011375,74.68797501382095,20.376817530206893,-1.1319250656429176,-0.40862100110019217
2019-12-26,72.4775,93336000,71.205,72.495,71.175,0.00037950009942965663,74.2860704658535,22.13421342134221,-1.253681422083588,-0.5776330852968714
2019-12-24,71.0675,48478840,71.1725,71.2225,70.7299,-0.01964603923249208,73.70087583569831,21.31807586353048,-1.4472662435447035,-0.7515597169464379
2019-12-23,71.0,98711520,70.1325,71.0625,70.0934,-0.0009502525923135888,73.20980750193497,18.907198612315725,-1.5878268159880804,-0.9188131367547664
2019-12-20,69.86,276130960,70.5575,70.6625,69.64,-0.016186637662629465,72.60075159249224,9.56896551724148,-1.7707978990592323,-1.0892100892156595
2019-12-19,70.005,98507800,69.875,70.295,69.7375,0.002073428691202591,72.12879675749365,12.44114002478321,-1.8824043271171718,-1.247848936795962
2019-12-18,69.935,116098760,69.95,70.475,69.78,-0.0010004288386213202,71.72992461976753,12.57200100175315,-1.9539774052011012,-1.3890746304769899
2019-12-17,70.1025,114303200,69.8925,70.4425,69.7,0.0023922175114439474,71.43402923435525,16.656908665105504,-1.9744238064896393,-1.5061444656795198
2019-12-16,69.965,128324440,69.25,70.1975,69.245,-0.0019633397350344623,71.16693300992702,19.02373788030772,-1.9789111715277983,-1.6006978068491755
